#format table ## [Custom WaveView] saved 05:23:05 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 5.630E-03 , 6.159E-03 , 6.159E-03 , 6.159E-03 , 6.159E-03 , 6.159E-03 , 1.281E+00 
 5.680E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.815E-06 
 5.730E-03 , 6.159E-03 , 6.159E-03 , 6.159E-03 , 6.159E-03 , 6.159E-03 , 1.281E+00 
 5.780E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 5.830E-03 , 6.159E-03 , 6.159E-03 , 6.159E-03 , 6.159E-03 , 6.159E-03 , 1.281E+00 
 5.880E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.805E-06 
 5.930E-03 , 6.160E-03 , 6.160E-03 , 6.160E-03 , 6.160E-03 , 6.160E-03 , 1.280E+00 
 5.980E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 6.030E-03 , 6.160E-03 , 6.160E-03 , 6.160E-03 , 6.160E-03 , 6.160E-03 , 1.280E+00 
 6.080E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 6.130E-03 , 6.160E-03 , 6.160E-03 , 6.160E-03 , 6.160E-03 , 6.160E-03 , 1.280E+00 
 6.180E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.815E-06 
 6.230E-03 , 6.160E-03 , 6.160E-03 , 6.160E-03 , 6.160E-03 , 6.160E-03 , 1.280E+00 
 6.280E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 6.330E-03 , 6.161E-03 , 6.161E-03 , 6.161E-03 , 6.161E-03 , 6.161E-03 , 1.280E+00 
 6.380E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.782E-06 
 6.430E-03 , 6.161E-03 , 6.161E-03 , 6.161E-03 , 6.161E-03 , 1.280E+00 , 6.161E-03 
 6.480E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 6.530E-03 , 6.161E-03 , 6.161E-03 , 6.161E-03 , 6.161E-03 , 6.161E-03 , 1.280E+00 
 6.580E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 6.630E-03 , 6.162E-03 , 6.162E-03 , 6.162E-03 , 6.162E-03 , 1.280E+00 , 6.161E-03 
 6.680E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.815E-06 
 6.730E-03 , 6.162E-03 , 6.162E-03 , 6.162E-03 , 6.162E-03 , 6.162E-03 , 1.280E+00 
